FIPS_Code,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_ 2013,POVALL_2021,CI90LBALL_2021,CI90UBALL_2021,PCTPOVALL_2021,CI90LBALLP_2021,CI90UBALLP_2021,POV017_2021,CI90LB017_2021,CI90UB017_2021,PCTPOV017_2021,CI90LB017P_2021,CI90UB017P_2021,POV517_2021,CI90LB517_2021,CI90UB517_2021,PCTPOV517_2021,CI90LB517P_2021,CI90UB517P_2021,MEDHHINC_2021,CI90LBINC_2021,CI90UBINC_2021,POV04_2021,CI90LB04_2021,CI90UB04_2021,PCTPOV04_2021,CI90LB04P_2021,CI90UB04P_2021
00000,US,United States,,,,,41393176,41149497,41636855,12.8,12.7,12.9,12243219,12110180,12376258,16.9,16.7,17.1,8636275,8533254,8739296,16.1,15.9,16.3,69717,69583,69851,3349149,3299669,3398629,18.3,18,18.6
01000,AL,Alabama,,,,,800848,782169,819527,16.3,15.9,16.7,250327,241921,258733,22.7,21.9,23.5,176596,169423,183769,21.6,20.7,22.5,53990,53218,54762,71220,66888,75552,25.1,23.6,26.6
01001,AL,Autauga County,2,2,2,2,6296,4772,7820,10.7,8.1,13.3,2199,1560,2838,16.1,11.4,20.8,1607,1108,2106,15.6,10.8,20.4,66444,60061,72827,,,,,,
01003,AL,Baldwin County,4,5,3,2,25526,21599,29453,10.8,9.1,12.5,8207,6560,9854,16.4,13.1,19.7,5762,4512,7012,15.2,11.9,18.5,65658,60723,70593,,,,,,
01005,AL,Barbour County,6,6,6,6,5089,3773,6405,23,17,29,1776,1256,2296,35.1,24.8,45.4,1276,868,1684,33.8,23,44.6,38649,34308,42990,,,,,,
01007,AL,Bibb County,1,1,1,1,4204,3324,5084,20.6,16.3,24.9,1275,1004,1546,29,22.8,35.2,940,734,1146,29,22.6,35.4,48454,42438,54470,,,,,,
01009,AL,Blount County,1,1,1,1,6992,5516,8468,12,9.5,14.5,2236,1608,2864,16.7,12,21.4,1599,1118,2080,15.9,11.1,20.7,56894,52632,61156,,,,,,
01011,AL,Bullock County,6,6,6,6,2764,2161,3367,32.1,25.1,39.1,903,668,1138,41.7,30.8,52.6,690,513,867,43.2,32.1,54.3,32027,28131,35923,,,,,,
01013,AL,Butler County,6,6,6,6,4226,3385,5067,22.7,18.2,27.2,1441,1061,1821,34.2,25.2,43.2,1073,776,1370,34.2,24.7,43.7,39442,34974,43910,,,,,,
01015,AL,Calhoun County,3,2,3,2,21630,18671,24589,19.2,16.6,21.8,6205,4918,7492,25.2,20,30.4,4485,3460,5510,24.7,19,30.4,48166,43479,52853,,,,,,
01017,AL,Chambers County,6,5,6,5,6699,5333,8065,19.7,15.7,23.7,2258,1678,2838,32.2,23.9,40.5,1654,1206,2102,31.8,23.2,40.4,45447,40729,50165,,,,,,
01019,AL,Cherokee County,8,6,6,6,4513,3675,5351,18.2,14.8,21.6,1235,943,1527,26.6,20.3,32.9,882,651,1113,25.1,18.5,31.7,46365,41576,51154,,,,,,
01021,AL,Chilton County,1,1,1,1,6973,5520,8426,15.5,12.3,18.7,2362,1709,3015,22.4,16.2,28.6,1621,1122,2120,20.6,14.3,26.9,55142,49687,60597,,,,,,
01023,AL,Choctaw County,9,10,9,10,2893,2303,3483,23.3,18.5,28.1,809,593,1025,32.4,23.7,41.1,587,423,751,32.4,23.3,41.5,40601,35622,45580,,,,,,
01025,AL,Clarke County,7,11,7,11,4366,3390,5342,19.4,15.1,23.7,1419,1015,1823,29.2,20.9,37.5,1012,689,1335,28.4,19.3,37.5,45447,40973,49921,,,,,,
01027,AL,Clay County,9,10,9,10,2560,2083,3037,18.4,15,21.8,792,600,984,27.6,20.9,34.3,576,428,724,26.9,20,33.8,47036,42115,51957,,,,,,
01029,AL,Cleburne County,8,4,8,4,2236,1723,2749,15,11.6,18.4,755,543,967,22.1,15.9,28.3,532,368,696,21.1,14.6,27.6,49769,44688,54850,,,,,,
01031,AL,Coffee County,6,5,4,5,8516,7320,9712,15.9,13.7,18.1,3087,2517,3657,24.2,19.7,28.7,1982,1501,2463,20.7,15.7,25.7,55052,49791,60313,,,,,,
01033,AL,Colbert County,3,2,3,2,9396,7821,10971,16.5,13.7,19.3,2841,2229,3453,23.6,18.5,28.7,1862,1377,2347,21,15.5,26.5,53341,48729,57953,,,,,,
01035,AL,Conecuh County,9,11,7,11,2528,1893,3163,22.4,16.8,28,762,541,983,33.9,24.1,43.7,555,384,726,33.7,23.3,44.1,35621,31410,39832,,,,,,
01037,AL,Coosa County,8,7,8,3,1754,1305,2203,17.1,12.7,21.5,499,354,644,29.9,21.2,38.6,362,248,476,29.3,20,38.6,45954,41569,50339,,,,,,
01039,AL,Covington County,7,9,6,6,7317,6099,8535,19.8,16.5,23.1,2304,1790,2818,28.3,22,34.6,1610,1194,2026,26.5,19.7,33.3,44188,39230,49146,,,,,,
01041,AL,Crenshaw County,8,6,8,6,2267,1722,2812,17.5,13.3,21.7,854,615,1093,28.9,20.8,37,621,431,811,27.6,19.1,36.1,38037,34707,41367,,,,,,
01043,AL,Cullman County,6,3,4,3,11898,9659,14137,13.5,11,16,3432,2565,4299,17.5,13.1,21.9,2390,1714,3066,16.4,11.8,21,55036,50209,59863,,,,,,
01045,AL,Dale County,4,5,4,5,7587,6146,9028,15.7,12.7,18.7,2558,1862,3254,22.7,16.5,28.9,1708,1186,2230,21.2,14.7,27.7,50086,44844,55328,,,,,,
01047,AL,Dallas County,4,5,4,5,10914,8700,13128,29.5,23.5,35.5,3924,2996,4852,45.4,34.7,56.1,2843,2163,3523,43.7,33.3,54.1,33159,29451,36867,,,,,,
01049,AL,DeKalb County,6,6,6,6,13783,11773,15793,19.4,16.6,22.2,4981,4091,5871,29.3,24.1,34.5,3104,2354,3854,24,18.2,29.8,45062,40409,49715,,,,,,
01051,AL,Elmore County,2,2,2,2,10138,8210,12066,12,9.7,14.3,3347,2459,4235,17.3,12.7,21.9,2418,1720,3116,16.6,11.8,21.4,63147,56748,69546,,,,,,
01053,AL,Escambia County,6,6,6,6,8147,6711,9583,23.8,19.6,28,2445,1873,3017,29.9,22.9,36.9,1817,1373,2261,30.2,22.8,37.6,40506,36159,44853,,,,,,
01055,AL,Etowah County,3,2,3,2,17605,14857,20353,17.4,14.7,20.1,5464,4185,6743,25,19.2,30.8,3841,2881,4801,24,18,30,46308,42549,50067,,,,,,
