#time,trackpoint_type,latitude,longitude,altitude,accuracy_horizontal,accuracy_vertical,speed,altitude_gain,altitude_loss,sensor_distance,heartrate,cadence,power
"2023-07-18T15:17:17.915-04:00","SEGMENT_START_MANUAL",,,,,,,,,,,,
"2023-07-18T15:17:35.318-04:00","TRACKPOINT",40.732063,-74.263086,43.164734,6.394,,18.65,0,0,,,,
"2023-07-18T15:17:37.32-04:00","TRACKPOINT",40.731953,-74.263195,42.621094,5.707,,17.64,0,0,,,,
"2023-07-18T15:17:39.32-04:00","TRACKPOINT",40.731837,-74.263264,40.781982,5.948,,21.49,0,0,,,,
"2023-07-18T15:17:41.321-04:00","TRACKPOINT",40.731729,-74.263288,40.226929,5.908,,22.21,0,0,,,,
"2023-07-18T15:17:43.322-04:00","TRACKPOINT",40.731632,-74.263359,42.437317,5.069,,27.4,0,0,,,,
"2023-07-18T15:17:46.325-04:00","TRACKPOINT",40.731535,-74.263384,38.748596,4.632,,10.4,0,0,,,,
"2023-07-18T15:17:48.336-04:00","TRACKPOINT",40.731417,-74.263439,38.478027,5.327,,23.54,0,0,,,,
"2023-07-18T15:17:50.328-04:00","TRACKPOINT",40.731335,-74.263524,37.999817,5.364,,19.04,0,0,,,,
"2023-07-18T15:17:52.325-04:00","TRACKPOINT",40.731236,-74.263628,37.46521,4.882,,20.05,0,0,,,,
"2023-07-18T15:17:54.325-04:00","TRACKPOINT",40.731142,-74.263693,36.789612,4.124,,19.55,0,0,,,,
"2023-07-18T15:17:56.336-04:00","TRACKPOINT",40.73104,-74.263758,35.432007,3.921,,19.22,0,0,,,,
"2023-07-18T15:17:58.321-04:00","TRACKPOINT",40.730946,-74.263797,33.92749,3.99,,19.66,0,0,,,,
"2023-07-18T15:18:01.324-04:00","TRACKPOINT",40.730859,-74.263883,35.472473,4.015,,11.45,0,0,,,,
"2023-07-18T15:18:05.332-04:00","TRACKPOINT",40.730903,-74.264026,33.916321,4.394,,21.71,0,0,,,,
"2023-07-18T15:18:07.337-04:00","TRACKPOINT",40.730953,-74.264192,32.35321,4.113,,26.42,0,0,,,,
"2023-07-18T15:18:09.326-04:00","TRACKPOINT",40.731007,-74.264358,31.492676,3.916,,29.81,0,0,,,,
"2023-07-18T15:18:11.327-04:00","TRACKPOINT",40.731061,-74.264534,31.696472,4.057,,28.55,0,0,,,,
"2023-07-18T15:18:13.329-04:00","TRACKPOINT",40.731105,-74.264694,31.897583,4.005,,27.18,0,0,,,,
"2023-07-18T15:18:15.325-04:00","TRACKPOINT",40.731164,-74.264816,32.77124,4.133,,20.63,0,0,,,,
"2023-07-18T15:18:18.329-04:00","TRACKPOINT",40.731232,-74.264937,33.969604,4.214,,10.51,0,0,,,,
"2023-07-18T15:18:26.334-04:00","TRACKPOINT",40.731279,-74.265013,38.506775,4.927,,1.48,0,3,,,,
"2023-07-18T15:18:27.319-04:00","TRACKPOINT",40.731281,-74.265021,38.638123,4.779,,0,0,0,,,,
"2023-07-18T15:18:59.337-04:00","TRACKPOINT",40.731257,-74.26503,39.27832,4.394,,0,0,0,,,,
"2023-07-18T15:19:00.326-04:00","TRACKPOINT",40.73127,-74.265038,42.34729,3.954,,4.25,0,0,,,,
"2023-07-18T15:19:07.336-04:00","TRACKPOINT",40.731303,-74.265108,44.044434,3.79,,1.55,0,0,,,,
"2023-07-18T15:19:08.329-04:00","TRACKPOINT",40.7313,-74.265117,43.73645,3.806,,0,0,0,,,,
"2023-07-18T15:19:09.33-04:00","TRACKPOINT",40.7313,-74.26512,44.247681,3.79,,0,0,0,,,,
"2023-07-18T15:19:10.325-04:00","TRACKPOINT",40.731298,-74.265124,43.327026,3.79,,1.73,0,0,,,,
"2023-07-18T15:19:14.326-04:00","TRACKPOINT",40.731341,-74.26524,41.304077,3.79,,15.44,0,0,,,,
"2023-07-18T15:19:16.324-04:00","TRACKPOINT",40.731357,-74.265378,42.146362,4.049,,17.14,0,0,,,,
"2023-07-18T15:19:18.328-04:00","TRACKPOINT",40.731297,-74.2655,40.69165,5.996,,18.58,0,0,,,,
"2023-07-18T15:19:20.318-04:00","TRACKPOINT",40.731194,-74.265579,40.465088,5.521,,22.43,0,0,,,,
"2023-07-18T15:19:22.325-04:00","TRACKPOINT",40.731086,-74.265677,40.333374,5.917,,23.62,0,0,,,,
"2023-07-18T15:19:24.324-04:00","TRACKPOINT",40.730938,-74.265756,39.174988,5.317,,30.64,0,0,,,,
"2023-07-18T15:19:26.335-04:00","TRACKPOINT",40.730823,-74.265846,38.638184,6.751,,22.82,0,0,,,,
"2023-07-18T15:19:28.324-04:00","TRACKPOINT",40.730725,-74.265918,37.176025,7.123,,25.2,0,0,,,,
"2023-07-18T15:19:30.323-04:00","TRACKPOINT",40.730635,-74.265999,36.980957,4.844,,24.98,0,0,,,,
"2023-07-18T15:19:32.323-04:00","TRACKPOINT",40.730524,-74.266092,35.008179,4.74,,24.01,0,0,,,,
"2023-07-18T15:19:34.316-04:00","TRACKPOINT",40.730409,-74.266186,34.416382,5.41,,27.14,0,0,,,,
"2023-07-18T15:19:36.327-04:00","TRACKPOINT",40.730283,-74.266271,34.8573,4.636,,25.49,0,0,,,,
"2023-07-18T15:19:38.321-04:00","TRACKPOINT",40.730167,-74.26636,34.800659,4.257,,26.14,0,0,,,,
"2023-07-18T15:19:40.316-04:00","TRACKPOINT",40.730052,-74.266468,37.275024,3.989,,31.1,0,0,,,,
